Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Gas:Plant [J](Monthly),Gas:Facility [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),Gas:Plant [J](RunPeriod),Gas:Facility [J](RunPeriod) 
January,12938167171.09018,10966050000.0,7369650000.0,836576325.9193403,1135540845.1708122,7588914587.923074,7588914587.923074 
February,11555094656.895482,9578520000.0,6442200000.0,726702227.5535245,1249872429.3419662,6277888515.082782,6277888515.082782 
March,12756032526.931202,10123110000.0,6816150000.0,760001818.7796205,1872920708.151579,3932119916.720944,3932119916.720944 
April,14649588546.494736,10503540000.0,7060500000.0,797647733.981691,3348400812.5130279,2678663684.201079,2678663684.201079 
May,16948506543.73647,10966050000.0,7369650000.0,839329192.0693519,5143127351.667129,1250415122.2930339,1250415122.2930339 
June,16424576005.199988,9660600000.0,6507000000.0,736735581.1258952,6027240424.074097,415443037.08187058,415443037.08187058 
July,20173573618.86977,10966050000.0,7369650000.0,848269727.7617624,8359253891.108007,463637995.34687796,463637995.34687796 
August,18490730849.657659,10544580000.0,7092900000.0,807608231.3094956,7138542618.348158,488198273.5482633,488198273.5482633 
September,16323397175.115103,10082070000.0,6783750000.0,770434961.5628328,5470892213.552286,659932748.1578642,659932748.1578642 
October,15429642959.857844,10966050000.0,7369650000.0,834767098.1519522,3628825861.7058556,2341894096.956816,2341894096.956816 
November,12807201962.067187,10082070000.0,6783750000.0,760300166.4672018,1964831795.5999113,4464255901.38647,4464255901.38647 
December,12501699725.617062,10544580000.0,7092900000.0,800466452.9798616,1156653272.6371709,7281352718.817788,7281352718.817788,180998211741.5323,124983270000.0,84057750000.0,9518839517.662657,46496102223.87517,37842716597.517,37842716597.517 
